Airline,Departure,Arrival,NoControl,LQR,Saved
UA,ORD,GRR,1087.4086947306757,190.50996811830146,896.8987266123743
UA,PHL,DEN,593.6582817511201,428.4158925664486,165.24238918467148
UA,ORD,IND,954.0295203171427,201.91615120274912,752.1133691143935
UA,KOA,SFO,570.0568168002632,411.8175470539598,158.23926974630336
UA,SFO,PDX,917.7342360030684,287.55003119631664,630.1842048067517
UA,IAH,SFO,1023.7634457982349,778.558263194952,245.20518260328288
UA,PHX,ORD,802.7467845894853,524.383200894751,278.3635836947343
UA,IAH,BWI,665.0612447996573,491.86165726635386,173.19958753330343
UA,ORD,PHX,958.1270570233538,857.9947133692658,100.132343654088
UA,ORD,DSM,1227.1067586446986,280.7312260392393,946.3755326054593
UA,IAH,FLL,692.0622619383909,382.98783217186724,309.0744297665236
UA,LGA,DEN,727.0286765676545,376.07653545604444,350.9521411116101
UA,PIT,DEN,619.1356068291409,395.35084656726065,223.78476026188025
UA,IAH,DEN,903.9608174059088,441.9059717622329,462.05484564367583
UA,ORD,MCO,993.0827388312171,499.4635534007892,493.6191854304279
UA,ORD,MCI,719.2788655088982,235.49455398983108,483.78431151906716
UA,DEN,GRR,526.9940382939004,341.7772936335028,185.21674466039764
UA,MSN,ORD,732.2306027401667,84.92249473684211,647.3081080033246
UA,TPA,EWR,656.0719926842736,198.4275170977483,457.6444755865253
UA,MSY,DEN,447.06443525220516,239.2113238161984,207.85311143600677
UA,DEN,PIT,705.2246828589103,439.7470260351487,265.47765682376166
UA,DEN,SNA,632.8412885024482,373.6826064055216,259.15868209692655
UA,ATL,DEN,728.2738079676236,385.630800112435,342.6430078551886
UA,PBI,EWR,1162.5922987237905,359.66801169168065,802.9242870321098
UA,GEG,DEN,652.3357027781506,164.23142671923839,488.1042760589122
UA,EWR,BOS,1008.1914044308556,210.55389784414461,797.637506586711
UA,SFO,DFW,937.3096437868448,781.1318269850344,156.17781680181042
UA,ITO,LAX,640.5267669390605,625.8030840611353,14.723682877925171
UA,SFO,DCA,887.7545701036116,1105.383973435173,-217.62940333156132
UA,IAD,ATL,666.6389912539752,221.1822807017544,445.4567105522208
UA,ORD,SNA,870.261278738801,897.0524032836325,-26.79112454483152
UA,LAS,EWR,643.4238774036721,367.7404045783323,275.68347282533983
UA,SFO,SAN,715.0461128793296,224.57473008358775,490.4713827957419
UA,DEN,MIA,557.9438469641892,559.2596715328467,-1.31582456865749
UA,SFO,IAH,958.0967666511334,752.4317879787893,205.6649786723441
UA,GRR,ORD,481.69768938232585,108.55864933687005,373.1390400454558
UA,SFO,IAD,714.3152614312769,630.7960671693713,83.51919426190557
UA,IAD,PDX,680.2383848074476,935.5092036360383,-255.27081882859068
UA,BOS,IAH,653.7674699373033,506.28182405809474,147.48564587920856
UA,BOS,IAD,558.1765864673062,119.10846849712706,439.06811797017906
UA,ORD,LGA,1283.7900174181107,249.16108365376041,1034.6289337643502
UA,IAH,MSY,705.871621070907,180.81886772011026,525.0527533507968
UA,SFO,AUS,735.89970089714,551.3271238932404,184.5725770038996
UA,SFO,STL,1207.8925836310334,1007.346745120015,200.54583851101836
UA,SFO,PHX,667.2181878822183,321.313572810619,345.9046150715993
UA,SAT,EWR,219.05456354495635,231.5134161702127,-12.458852625256355
UA,SAN,DEN,517.2078397662588,217.21299365170796,299.9948461145508
UA,PHL,SFO,778.8471255634267,843.9547096874754,-65.10758412404869
UA,SJC,IAH,261.20050405848673,266.34782789787164,-5.14732383938491
UA,OKC,DEN,521.8465319372318,171.24010311248657,350.60642882474525
UA,SFO,LAS,940.7750056048012,204.26213214527596,736.5128734595253
UA,DEN,LGA,570.3777105560039,434.01524493393356,136.36246562207032
UA,LAX,ORD,856.6075750083219,587.1872393004193,269.4203357079026
UA,IAH,RSW,741.110979567038,462.85009951159947,278.2608800554386
UA,IAH,ORD,897.1956941211844,485.4633045983932,411.73238952279115
UA,EWR,DFW,957.7605529632053,713.3544958912769,244.40605707192844
UA,SEA,EWR,720.2135852154441,768.902408444636,-48.688823229191826
